# 颜文字面板的排布：分类\t颜文字
# 由 render-panel.py 从 kaomoji-collection 挑出来（MIT，见同目录 LICENSE），别手改
# group: 开心
亲亲	(♡˙³˙)
亲亲	(♡ε♡ )
亲亲	(*´³`*)
亲亲	(^з^)-☆
亲亲	( º³º )
亲亲	( ˘ ³˘)♥
亲亲	(๑ơ ₃ ơ)
亲亲	(๑¯ ³¯๑)
亲亲	( *˘ ³˘)♡
亲亲	◝(꒪᷅ε꒪᷅๑)◜
亲亲	(˃͈ દ ˂͈ )
亲亲	(*´³`*) ㄘゅ♡
亲亲	(⁎˃ з ˂⁎)ﾁｭｰ♡
亲亲	(*´(〃 )ㄘゅ〜.｡*♡
亲亲	꒰˘ᵌ˘꒱♡
亲亲	( ¯💋¯ )
亲亲	ˎ₍•💋•₎ˏ
亲亲	꒰⑅ᵕ3ᵕ꒱˖♡
亲亲	(ᐢ∩3&lt;ᐢ)︎
亲亲	(.› ₃ ‹.)
亲亲	( • ,•)ฅ♡
亲亲	(ʃƪ ˘ ³˘)ᰔ
亲亲	(♡ơ ₃ơ)ㄘゅ❤
亲亲	(ɔˆ ³(ˆ⌣ˆc)
亲亲	(ɔˆ ³(ˆᴗˆc)
亲亲	(*˘°˘)💋cнu
亲亲	( ˘ ³˘)♥ちゅー
亲亲	(˶ &gt; ₃ &lt; ˶)♡
亲亲	໒(˶&gt; 𐔌 &lt;˶)১
亲亲	(* ˘ ³˘)んちゅ♡
亲亲	(๑˘ ³˘๑)ﾁｭ～♡
亲亲	( ˘ ³˘)キスして…
亲亲	(๑˙❥˙๑)ﾌﾞﾁｭｰ
亲亲	( *¯ ³¯*)♡ㄘゅ
亲亲	(｡•з•)♡(•ε•｡)
亲亲	(˶¯ ³(๑´ᵕ`๑)ဣ
亲亲	(๑˘ ³˘๑)ﾁｭ～♥️
亲亲	٩(♥ ˘ ³˘)chu♡
亲亲	(* ˘ ³˘)ﾁｭｯ♡*
# group: 抱抱
抱抱	⊂(・﹏・⊂)
抱抱	⊂（♡⌂♡）⊃
抱抱	⊂(◉‿◉)つ
抱抱	ლ(・ヮ・ლ)
抱抱	(つ◉益◉)つ
抱抱	⊂(・ヮ・⊂)
抱抱	⊂(・▽・⊂)
抱抱	(っಠ‿ಠ)っ
抱抱	ʕっ•ᴥ•ʔっ
抱抱	（っ・∀・）っ
抱抱	(っ⇀⑃↼)っ
抱抱	＼(^o^)／
抱抱	(つ´∀｀)つ
抱抱	(つ▀¯▀)つ
抱抱	(っ´▽｀)っ
抱抱	ლ(・﹏・ლ)
抱抱	(o´∀`)o
抱抱	(つ≧▽≦)つ
抱抱	⊂(♡ᴗ♡⊂)
抱抱	⊂(･ω･*⊂)
抱抱	ლ(･ω･*ლ)
抱抱	(づ￣ ³￣)づ
抱抱	(⊃｡&gt;﹏&lt;)⊃
抱抱	ლ(´ ❥ `ლ)
抱抱	c⌒っ╹v╹ )っ
抱抱	d=(´▽｀)=b
抱抱	⊂( ◜◒◝ )⊃
抱抱	(.づ◡﹏◡)づ.
抱抱	(っ*´∀｀*)っ
抱抱	(๑&gt;ᴗ&lt;)ω・๑)♡
抱抱	(´｡•ω(•ω•｡`)
抱抱	♡(*&gt;ω&lt;)ω&lt;*)♡
抱抱	(*ˊᵕˋ)ˊᵕˋ*)♡
抱抱	(っ´×`(´ω`*)♡
抱抱	( *`ㅂ´(ΦωΦ｡)
抱抱	(´｡-ω(-ω-｡`)♡
